steps,train_accuracy,validation_accuracy
10.0,0.032926829268292684,0.017241379310344827
20.0,0.02926829268292683,0.034482758620689655
30.0,0.02926829268292683,0.034482758620689655
40.0,0.03414634146341464,0.034482758620689655
50.0,0.032926829268292684,0.06321839080459771
60.0,0.03536585365853658,0.07471264367816093
70.0,0.03414634146341464,0.06896551724137931
80.0,0.03414634146341464,0.06321839080459771
90.0,0.02926829268292683,0.05747126436781609
100.0,0.02926829268292683,0.05172413793103448
110.0,0.024390243902439025,0.05747126436781609
120.0,0.02804878048780488,0.05172413793103448
130.0,0.03048780487804878,0.04597701149425287
140.0,0.025609756097560974,0.028735632183908046
150.0,0.025609756097560974,0.028735632183908046
160.0,0.023170731707317073,0.034482758620689655
170.0,0.023170731707317073,0.028735632183908046
180.0,0.018292682926829267,0.034482758620689655
190.0,0.020731707317073172,0.028735632183908046
200.0,0.01951219512195122,0.028735632183908046
210.0,0.01951219512195122,0.028735632183908046
220.0,0.015853658536585366,0.028735632183908046
230.0,0.015853658536585366,0.034482758620689655
240.0,0.012195121951219513,0.028735632183908046
250.0,0.014634146341463415,0.028735632183908046
260.0,0.013414634146341463,0.028735632183908046
270.0,0.015853658536585366,0.028735632183908046
280.0,0.013414634146341463,0.028735632183908046
290.0,0.01707317073170732,0.028735632183908046
300.0,0.015853658536585366,0.028735632183908046
310.0,0.014634146341463415,0.028735632183908046
320.0,0.015853658536585366,0.028735632183908046
330.0,0.014634146341463415,0.028735632183908046
340.0,0.014634146341463415,0.028735632183908046
350.0,0.014634146341463415,0.028735632183908046
360.0,0.013414634146341463,0.028735632183908046
370.0,0.013414634146341463,0.028735632183908046
380.0,0.012195121951219513,0.028735632183908046
390.0,0.014634146341463415,0.028735632183908046
400.0,0.013414634146341463,0.028735632183908046
410.0,0.013414634146341463,0.028735632183908046
420.0,0.013414634146341463,0.028735632183908046
430.0,0.014634146341463415,0.028735632183908046
440.0,0.014634146341463415,0.028735632183908046
450.0,0.012195121951219513,0.028735632183908046
460.0,0.014634146341463415,0.028735632183908046
470.0,0.015853658536585366,0.028735632183908046
480.0,0.013414634146341463,0.028735632183908046
490.0,0.012195121951219513,0.028735632183908046
500.0,0.014634146341463415,0.028735632183908046
