steps,train_accuracy,validation_accuracy
26.0,0.03902439024390244,0.05747126436781609
52.0,0.03536585365853658,0.05747126436781609
78.0,0.03536585365853658,0.040229885057471264
104.0,0.036585365853658534,0.04597701149425287
130.0,0.02804878048780488,0.040229885057471264
156.0,0.032926829268292684,0.040229885057471264
182.0,0.024390243902439025,0.034482758620689655
208.0,0.023170731707317073,0.034482758620689655
234.0,0.024390243902439025,0.034482758620689655
260.0,0.024390243902439025,0.028735632183908046
286.0,0.020731707317073172,0.028735632183908046
312.0,0.018292682926829267,0.028735632183908046
338.0,0.018292682926829267,0.034482758620689655
364.0,0.01707317073170732,0.034482758620689655
390.0,0.01707317073170732,0.028735632183908046
416.0,0.01707317073170732,0.028735632183908046
442.0,0.012195121951219513,0.028735632183908046
468.0,0.01097560975609756,0.034482758620689655
494.0,0.01097560975609756,0.028735632183908046
520.0,0.01097560975609756,0.028735632183908046
546.0,0.00975609756097561,0.034482758620689655
572.0,0.00975609756097561,0.028735632183908046
598.0,0.00975609756097561,0.034482758620689655
624.0,0.00975609756097561,0.028735632183908046
650.0,0.012195121951219513,0.028735632183908046
676.0,0.01097560975609756,0.028735632183908046
702.0,0.00975609756097561,0.028735632183908046
728.0,0.01097560975609756,0.028735632183908046
754.0,0.00975609756097561,0.034482758620689655
780.0,0.00975609756097561,0.034482758620689655
806.0,0.00975609756097561,0.028735632183908046
832.0,0.00975609756097561,0.034482758620689655
858.0,0.00975609756097561,0.028735632183908046
884.0,0.012195121951219513,0.028735632183908046
910.0,0.00975609756097561,0.028735632183908046
936.0,0.01097560975609756,0.034482758620689655
962.0,0.00975609756097561,0.028735632183908046
988.0,0.01097560975609756,0.028735632183908046
1014.0,0.01097560975609756,0.034482758620689655
1040.0,0.00975609756097561,0.028735632183908046
1066.0,0.01097560975609756,0.028735632183908046
1092.0,0.012195121951219513,0.028735632183908046
1118.0,0.00975609756097561,0.028735632183908046
1144.0,0.00975609756097561,0.028735632183908046
1170.0,0.01097560975609756,0.028735632183908046
1196.0,0.01097560975609756,0.028735632183908046
1222.0,0.012195121951219513,0.028735632183908046
1248.0,0.012195121951219513,0.028735632183908046
1274.0,0.00975609756097561,0.028735632183908046
1300.0,0.012195121951219513,0.028735632183908046
